step,signal
923,2.01825e+94
924,2.0185e+94
925,2.01876e+94
926,2.01903e+94
927,2.0193e+94
928,2.01957e+94
929,2.01985e+94
930,2.02013e+94
931,2.02041e+94
932,2.0207e+94
933,2.021e+94
934,2.02129e+94
935,2.02159e+94
936,2.02189e+94
937,2.0222e+94
938,2.0225e+94
939,2.0228e+94
940,2.02311e+94
941,2.02341e+94
942,2.02371e+94
943,2.02401e+94
944,2.02431e+94
945,2.02461e+94
946,2.0249e+94
947,2.02519e+94
948,2.02548e+94
949,2.02577e+94
950,2.02605e+94
951,2.02633e+94
952,2.0266e+94
953,2.02687e+94
954,2.02714e+94
955,2.0274e+94
956,2.02766e+94
957,2.02792e+94
958,2.02817e+94
959,2.02842e+94
960,2.02867e+94
961,2.02892e+94
962,2.02916e+94
963,2.0294e+94
964,2.02964e+94
965,2.02988e+94
966,2.03012e+94
967,2.03035e+94
968,2.03058e+94
969,2.03082e+94
970,2.03105e+94
971,2.03128e+94
972,2.03151e+94
973,2.03174e+94
974,2.03197e+94
975,2.03219e+94
976,2.03242e+94
977,2.03265e+94
978,2.03288e+94
979,2.03311e+94
980,2.03334e+94
981,2.03357e+94
982,2.0338e+94
983,2.03403e+94
984,2.03426e+94
985,2.0345e+94
986,2.03473e+94
987,2.03496e+94
988,2.0352e+94
989,2.03543e+94
990,2.03567e+94
991,2.0359e+94
992,2.03614e+94
993,2.03638e+94
994,2.03661e+94
995,2.03685e+94
996,2.03709e+94
997,2.03732e+94
998,2.03756e+94
999,2.0378e+94
